,Date,Notes
1,2022-08-20,[Finite dimension vector space](https://drive.google.com/open?id=1pL6u5e3waQLGIoN_mXXT4PBWqKL0qPrl)
2,2022-08-22,[Vector space](https://drive.google.com/open?id=1VUg6zrtkitFnR0fSrgqz8jod6Qqs68mc)
3,2022-08-24,[Example of vector space](https://drive.google.com/open?id=1saL7F1-KHajsdlRrWF8o3LUiE6hn8MQu)
4,2022-08-25,[Example of vector space and their properties](https://drive.google.com/open?id=1rk9oJUurn4FF9tK3vfoAQIFu36M-ljxG)
5,2022-08-26,[Finite dimension](https://drive.google.com/open?id=1S78ovyerBiQCwugVhtx_n2N4-0-bSAHZ)
6,2022-08-27,[Linear transformation](https://drive.google.com/open?id=1eXCsbA6ikM8cg2b9KEQbsuko_RBrp4ax)
7,2022-08-29,[Gaussian elimination method](https://drive.google.com/open?id=1WEv7LvYICnykyvdcK3wgfBFELcyoiRMC)
8,2022-08-30,[CSIR NET Exam and Syllabus]()
9,2022-08-31,[Gaussian elimination method](https://drive.google.com/open?id=120ZhKPvj7XL9eSn8VUDFMeXBfXmRrKzb)
10,2022-09-01,[Example of gaussian elimination method]()
11,2022-09-02,[RREF Form](https://drive.google.com/open?id=1RlQzzxCV17ZyCpqEmM3YSLz7VlsRHutJ)
12,2022-09-03,[Eigen value and eigen vector](https://drive.google.com/open?id=1IuFSJ6D8S177T8wz4MFcGPuCJPAEzQqO)
13,2022-09-05,[Eigen vector](https://drive.google.com/open?id=1qh_gYyHxgMqESjO6e6W96Y9dl9ZNFviN)
14,2022-09-06,[Diagonalization](https://drive.google.com/open?id=1OOMF8fxmx159bnEWJaHL8tYn8OM91xbL)
15,2022-09-07,[Diagonalization](https://drive.google.com/open?id=1d_MEiifQ-LjixSwbeP2lLACCgxflj6ei)
16,2022-09-10,[Minimal polynomial](https://drive.google.com/open?id=1WAsI7OPyI-GTkQ24R7qCOfeYtgFRRkQV)
17,2022-09-12,[Minimal polynomial](https://drive.google.com/open?id=1ungK-KoFb1kKD1BJBKP2w593HN3csiXK)
18,2022-09-13,[Matrix representation of linear transformation](https://drive.google.com/open?id=18k721tnYr_N_unS3nmeVW6GsIRvFCAIG)
19,2022-09-15,[Example of matrix representation of linear transformation](https://drive.google.com/open?id=1irtfuW2_nE276GUg1KaiW_50NpCqA1Zv)
20,2022-09-16,[Similar matrices](https://drive.google.com/open?id=1ZejTa3uI-59_gttw8x98yrbgigm0gykQ)
21,2022-09-19,[Invariant subspace](https://drive.google.com/open?id=1c8DQD95PMmlQXAXkFMJGuvhDwQFXG-hV)
22,2022-09-21,[Theorem of invariant  subspace](https://drive.google.com/open?id=1gxhdUB_oLx2ETxH3HbP6x7jYlZDKWpjY)
23,2022-09-22,[Generalised eigenvector](https://drive.google.com/open?id=19ViPMi_20jTh6Avar6IpaUyW8SIXeRu_)
24,2022-09-23,[Generalised eigenspace](https://drive.google.com/open?id=1TROE4xWpvVkQYV4gEadGq3cFkr8D1EjB)
25,2022-09-24,[Generalised eigenspace is invariant](https://drive.google.com/open?id=1yLR-j-NC2GKYbFQRIK37Z099VQFXuKu1)
26,2022-09-27,[Theorem of invariant subspace](https://drive.google.com/open?id=1bVFNVu0tVZDua2B145kUX-h4zS3Jyx4b)
27,2022-09-28,[Nilpotent transformation](https://drive.google.com/open?id=15z7pNu0FQDfZUZ6hKrGUQaJP9S--yyZV)
28,2022-09-28,[Jordan canonical form](https://drive.google.com/open?id=1GR7URvRrdFk7ga1bqOvmuG0-5G9_Rs9z)
29,2022-10-10,[Example of jordan canonical form](https://drive.google.com/open?id=1wa89UUHhWIWuC71uzv3D9-pxn1rQsDTD)
30,2022-10-11,[Primary decomposition theorem (statement)](https://drive.google.com/open?id=1q32j__PENojIwuT1mTbEffK5Up_vlbF_)
31,2022-10-12,[Primary decomposition theorem (proof)](https://drive.google.com/open?id=1Toy2q4Tpu9qD9e-GEi8AxRTakcy3rmp8)
32,2022-10-13,[Rational canonical form](https://drive.google.com/open?id=1uHzcndSfqIpWTAfYAtJvtMVtD6HAkD6c)
33,2022-10-14,[Example of Rational canonical form](https://drive.google.com/open?id=1m2AbGAKu61JLR6q36X-jRKVi6S1KhalJ)
34,2022-10-15,[Example of jordan canonical form](https://drive.google.com/open?id=1BUy2FLHDDz34VtwEzN3ChfALbYEI0oe-)
35,2022-10-17,[Inner product space](https://drive.google.com/open?id=1w4SsYI86XD_gKVo0QbIJUXvBXOXNZ8kb)
36,2022-10-18,[Projection](https://drive.google.com/open?id=1x0GnbZAvpIKcP2ITm1cEtLO7IiPJU4Cr)
37,2022-11-02,[Inner product](https://drive.google.com/open?id=1IKhDarPhqIyzjDCnZZvH4MG1oqYVOsvw)
38,2022-11-03,[Example of inner product](https://drive.google.com/open?id=1noyUj8eZdvfLOwS90xLMpW7LK73gzcDA)
39,2022-11-11,[Projection](https://drive.google.com/open?id=1poJgC8Y2wjrl-cwtDdU1xfPx8BM4vjjT)
40,2022-11-12,[Example fo projection](https://drive.google.com/open?id=1EFgGqPNAJr3HEKJJfqRHtVwBwwvY6VaF)
41,2022-11-14,[Norm](https://drive.google.com/open?id=1i0bbY2_1UvUdrEgjkzCljaHgS8-z2bZq)
42,2022-11-15,[Example of inner product](https://drive.google.com/open?id=1ToYwzX25q3YGJsKVYxLzu5C6VW0o-Stp)
43,2022-11-17,[Gaussian elimination method](https://drive.google.com/open?id=1Lg4Os2Qk6Fuj65VjhUYaBfhWJqPyqGHu)
44,2022-11-30,[Assignment problems](https://drive.google.com/open?id=1yU6V4dwE9vrtJM5S1Ad2EEVk7SUQnhlS)
45,2022-11-28,[Assignment problems](https://drive.google.com/open?id=1FEFvPSJVY3352HghLdcI73mBh2u-vC-v)
46,2022-12-05,[Hermition martix](https://drive.google.com/open?id=1vww18aN7FMvHtI0ZBoG1AAxDxLkCO02F)
47,2022-12-07,[Skew- hermition matrix](https://drive.google.com/open?id=1z9mS6pZNHCkNilTdH3z6o82r9BhT0unY)
48,2022-12-09,[Unitary matrix](https://drive.google.com/open?id=1Wo5HMPGnFI_B5UQ0Sxhem1b_AuzeT8vC)
49,2022-12-10,[Self adjoint operators](https://drive.google.com/open?id=1_Kg2fcBSjSSG_5NDPRgaPpqpWRiHX3oi)
50,2022-12-13,[Gram schmidt orthogonalization process](https://drive.google.com/open?id=12aiJka1ZydeYiJ2Oa403QM11hkPzMWXB)
51,2022-12-14,[Example of gram schmidt orthogonal](https://drive.google.com/open?id=1Q8_5bGU1g3n1Q9_zBgEiEBekZhRH9gLc)
52,2022-12-15,[Example of gram gram schmidt](https://drive.google.com/open?id=1QV8tEI6UY34re42k3hiUVXI-chzug8FK)
53,2022-12-16,[Bilinear form or transformation](https://drive.google.com/open?id=1AtoG0JBsgv8ECVLvB1VMAv2Kp0P5Pae_)
54,2022-12-17,[Algebra of bilinear](https://drive.google.com/open?id=1_AM83vWfFW-gbaFK_HuvjNRbcBLNd6kQ)
55,2022-12-20,"[Theorem :- the set of all bilinear form over a vector space v, form a vector space](https://drive.google.com/open?id=1PSpCjYy6PQhqOzAiF1gbzOH4JAPKGnYv)"
56,2022-12-26,[Privious class theorem continue](https://drive.google.com/open?id=1feBlIdNILPjhf4wciiC-fwoU1-rRfF2K)
57,2022-12-23,[Example of bilinear form](https://drive.google.com/open?id=1Tg_HvwPtJMYjyBXGeviV3eK4fXDeg0YW)
58,2022-12-27,[Matrix of bilinear form](https://drive.google.com/open?id=1MSrQ35mJGwSJxrx-pKckoAG9tEV9D6KO)
